Subject, Start Date, End Date, All Day Event, Start Time, End Time, Location
Mathematics, 8/1/2018, 8/1/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 24/1/2018, 24/1/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 9/2/2018, 9/2/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 14/3/2018, 14/3/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 9/4/2018, 9/4/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 25/4/2018, 25/4/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 30/5/2018, 30/5/2018, False, 09:20 AM, 10:35 AM, 524
Mathematics, 15/6/2018, 15/6/2018, False, 09:20 AM, 10:35 AM, 524
Advisory, 9/8/2017, 9/8/2017, False, 11:05 AM, 11:30 AM,
Advisory, 6/9/2017, 6/9/2017, False, 11:05 AM, 11:30 AM,
Advisory, 22/9/2017, 22/9/2017, False, 11:05 AM, 11:30 AM,
Advisory, 13/10/2017, 13/10/2017, False, 11:05 AM, 11:30 AM,
Advisory, 16/11/2017, 16/11/2017, False, 11:05 AM, 11:30 AM,
Advisory, 5/12/2017, 5/12/2017, False, 11:05 AM, 11:30 AM,
Advisory, 8/1/2018, 8/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 24/1/2018, 24/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 9/2/2018, 9/2/2018, False, 11:05 AM, 11:30 AM,
Advisory, 14/3/2018, 14/3/2018, False, 11:05 AM, 11:30 AM,
Advisory, 9/4/2018, 9/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 25/4/2018, 25/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 30/5/2018, 30/5/2018, False, 11:05 AM, 11:30 AM,
Advisory, 15/6/2018, 15/6/2018, False, 11:05 AM, 11:30 AM,
PE, 9/8/2017, 9/8/2017, False, 13:45 PM, 15:00 PM, 
PE, 6/9/2017, 6/9/2017, False, 13:45 PM, 15:00 PM, 
PE, 22/9/2017, 22/9/2017, False, 13:45 PM, 15:00 PM, 
PE, 13/10/2017, 13/10/2017, False, 13:45 PM, 15:00 PM, 
PE, 16/11/2017, 16/11/2017, False, 13:45 PM, 15:00 PM, 
PE, 5/12/2017, 5/12/2017, False, 13:45 PM, 15:00 PM, 
PE, 8/1/2018, 8/1/2018, False, 13:45 PM, 15:00 PM, 
PE, 24/1/2018, 24/1/2018, False, 13:45 PM, 15:00 PM, 
PE, 9/2/2018, 9/2/2018, False, 13:45 PM, 15:00 PM, 
PE, 14/3/2018, 14/3/2018, False, 13:45 PM, 15:00 PM, 
PE, 9/4/2018, 9/4/2018, False, 13:45 PM, 15:00 PM, 
PE, 25/4/2018, 25/4/2018, False, 13:45 PM, 15:00 PM, 
PE, 30/5/2018, 30/5/2018, False, 13:45 PM, 15:00 PM, 
PE, 15/6/2018, 15/6/2018, False, 13:45 PM, 15:00 PM, 
Science, 9/8/2017, 9/8/2017, False, 11:35 AM, 12:50 PM, 505
Science, 6/9/2017, 6/9/2017, False, 11:35 AM, 12:50 PM, 505
Science, 22/9/2017, 22/9/2017, False, 11:35 AM, 12:50 PM, 505
Science, 13/10/2017, 13/10/2017, False, 11:35 AM, 12:50 PM, 505
Science, 16/11/2017, 16/11/2017, False, 11:35 AM, 12:50 PM, 505
Science, 5/12/2017, 5/12/2017, False, 11:35 AM, 12:50 PM, 505
Science, 8/1/2018, 8/1/2018, False, 11:35 AM, 12:50 PM, 505
Science, 24/1/2018, 24/1/2018, False, 11:35 AM, 12:50 PM, 505
Science, 9/2/2018, 9/2/2018, False, 11:35 AM, 12:50 PM, 505
Science, 14/3/2018, 14/3/2018, False, 11:35 AM, 12:50 PM, 505
Science, 9/4/2018, 9/4/2018, False, 11:35 AM, 12:50 PM, 505
Science, 25/4/2018, 25/4/2018, False, 11:35 AM, 12:50 PM, 505
Science, 30/5/2018, 30/5/2018, False, 11:35 AM, 12:50 PM, 505
Science, 15/6/2018, 15/6/2018, False, 11:35 AM, 12:50 PM, 505
Individual and Society, 22/8/2017, 22/8/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 7/9/2017, 7/9/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 25/9/2017, 25/9/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 30/10/2017, 30/10/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 17/11/2017, 17/11/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 6/12/2017, 6/12/2017, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 9/1/2018, 9/1/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 25/1/2018, 25/1/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 12/2/2018, 12/2/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 15/3/2018, 15/3/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 10/4/2018, 10/4/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 26/4/2018, 26/4/2018, False, 07:55 AM, 09:15 AM, 524
Individual and Society, 31/5/2018, 31/5/2018, False, 07:55 AM, 09:15 AM, 524
Music, 22/8/2017, 22/8/2017, False, 09:20 AM, 10:35 AM, 411
Music, 7/9/2017, 7/9/2017, False, 09:20 AM, 10:35 AM, 411
Music, 25/9/2017, 25/9/2017, False, 09:20 AM, 10:35 AM, 411
Music, 30/10/2017, 30/10/2017, False, 09:20 AM, 10:35 AM, 411
Music, 17/11/2017, 17/11/2017, False, 09:20 AM, 10:35 AM, 411
Music, 6/12/2017, 6/12/2017, False, 09:20 AM, 10:35 AM, 411
Music, 9/1/2018, 9/1/2018, False, 09:20 AM, 10:35 AM, 411
Music, 25/1/2018, 25/1/2018, False, 09:20 AM, 10:35 AM, 411
Music, 12/2/2018, 12/2/2018, False, 09:20 AM, 10:35 AM, 411
Music, 15/3/2018, 15/3/2018, False, 09:20 AM, 10:35 AM, 411
Music, 10/4/2018, 10/4/2018, False, 09:20 AM, 10:35 AM, 411
Music, 26/4/2018, 26/4/2018, False, 09:20 AM, 10:35 AM, 411
Music, 31/5/2018, 31/5/2018, False, 09:20 AM, 10:35 AM, 411
Com Time, 22/8/2017, 22/8/2017, False, 11:05 AM, 11:30 AM,
Com Time, 7/9/2017, 7/9/2017, False, 11:05 AM, 11:30 AM,
Com Time, 25/9/2017, 25/9/2017, False, 11:05 AM, 11:30 AM,
Com Time, 30/10/2017, 30/10/2017, False, 11:05 AM, 11:30 AM,
Com Time, 17/11/2017, 17/11/2017, False, 11:05 AM, 11:30 AM,
Com Time, 6/12/2017, 6/12/2017, False, 11:05 AM, 11:30 AM,
Com Time, 9/1/2018, 9/1/2018, False, 11:05 AM, 11:30 AM,
Com Time, 25/1/2018, 25/1/2018, False, 11:05 AM, 11:30 AM,
Com Time, 12/2/2018, 12/2/2018, False, 11:05 AM, 11:30 AM,
Com Time, 15/3/2018, 15/3/2018, False, 11:05 AM, 11:30 AM,
Com Time, 10/4/2018, 10/4/2018, False, 11:05 AM, 11:30 AM,
Com Time, 26/4/2018, 26/4/2018, False, 11:05 AM, 11:30 AM,
Com Time, 31/5/2018, 31/5/2018, False, 11:05 AM, 11:30 AM,
English, 22/8/2017, 22/8/2017, False, 13:45 PM, 15:00 PM, 524
English, 7/9/2017, 7/9/2017, False, 13:45 PM, 15:00 PM, 524
English, 25/9/2017, 25/9/2017, False, 13:45 PM, 15:00 PM, 524
English, 30/10/2017, 30/10/2017, False, 13:45 PM, 15:00 PM, 524
English, 17/11/2017, 17/11/2017, False, 13:45 PM, 15:00 PM, 524
English, 6/12/2017, 6/12/2017, False, 13:45 PM, 15:00 PM, 524
English, 9/1/2018, 9/1/2018, False, 13:45 PM, 15:00 PM, 524
English, 25/1/2018, 25/1/2018, False, 13:45 PM, 15:00 PM, 524
English, 12/2/2018, 12/2/2018, False, 13:45 PM, 15:00 PM, 524
English, 15/3/2018, 15/3/2018, False, 13:45 PM, 15:00 PM, 524
English, 10/4/2018, 10/4/2018, False, 13:45 PM, 15:00 PM, 524
English, 26/4/2018, 26/4/2018, False, 13:45 PM, 15:00 PM, 524
English, 31/5/2018, 31/5/2018, False, 13:45 PM, 15:00 PM, 524
Chinese, 22/8/2017, 22/8/2017, False, 11:35 AM, 12:50 PM, 422
Chinese, 7/9/2017, 7/9/2017, False, 11:35 AM, 12:50 PM, 422
Chinese, 25/9/2017, 25/9/2017, False, 11:35 AM, 12:50 PM, 422
Chinese, 30/10/2017, 30/10/2017, False, 11:35 AM, 12:50 PM, 422
Chinese, 17/11/2017, 17/11/2017, False, 11:35 AM, 12:50 PM, 422
